Repositório,Estrelas,Pull Requests,Estado PR,Número PR,Data de Criação PR,Data de Fechamento PR,Data de Merge PR,Intervalo Criação e Última Atividade,Status Revisão,Revisões,Arquivos Alterados,Linhas Adicionadas,Linhas Excluídas,Caracteres Corpo PR,Participantes PR,Comentários PR
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54376,2024-04-12 13:46:18+00:00,2024-04-12 15:32:34+00:00,2024-04-12 15:32:34+00:00,1.77,APPROVED,2,4,45,5,339,4,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54373,2024-04-12 10:20:47+00:00,2024-04-12 13:11:56+00:00,2024-04-12 13:11:56+00:00,2.85,APPROVED,2,4,5,45,465,3,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54370,2024-04-12 07:51:21+00:00,2024-04-12 14:59:39+00:00,2024-04-12 14:59:39+00:00,7.14,APPROVED,2,1,2,2,547,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54369,2024-04-12 05:14:30+00:00,2024-04-12 15:01:42+00:00,2024-04-12 15:01:42+00:00,9.79,APPROVED,2,1,13,4,284,4,2
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54365,2024-04-12 00:06:10+00:00,2024-04-12 06:07:58+00:00,0,6.03,REVIEW_REQUIRED,1,2,11,0,284,3,1
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54363,2024-04-11 22:09:32+00:00,2024-04-11 22:15:16+00:00,0,0.1,REVIEW_REQUIRED,0,8,168,77,404,1,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54355,2024-04-11 17:50:00+00:00,2024-04-12 06:56:15+00:00,2024-04-12 06:56:15+00:00,13.1,APPROVED,3,1,10,0,280,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54350,2024-04-11 09:17:16+00:00,2024-04-11 12:45:56+00:00,2024-04-11 12:45:56+00:00,3.48,APPROVED,2,34,1271,1145,455,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54346,2024-04-11 03:42:37+00:00,2024-04-12 08:15:14+00:00,2024-04-12 08:15:14+00:00,28.54,APPROVED,14,4,45,5,284,4,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54345,2024-04-11 02:27:46+00:00,2024-04-11 15:57:55+00:00,2024-04-11 15:57:55+00:00,13.5,APPROVED,2,3,5,5,304,3,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54342,2024-04-10 15:14:45+00:00,2024-04-10 16:30:06+00:00,2024-04-10 16:30:06+00:00,1.26,APPROVED,2,1,9,9,866,3,0
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54341,2024-04-10 13:52:12+00:00,2024-04-10 13:52:29+00:00,0,0.0,REVIEW_REQUIRED,0,1,0,1,284,1,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54340,2024-04-10 13:14:56+00:00,2024-04-10 15:29:12+00:00,2024-04-10 15:29:12+00:00,2.24,APPROVED,2,1529,25346,3093,45,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54336,2024-04-09 17:51:23+00:00,2024-04-11 02:00:19+00:00,2024-04-11 02:00:19+00:00,32.15,APPROVED,2,1,1,1,284,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54334,2024-04-09 14:46:21+00:00,2024-04-09 16:31:40+00:00,2024-04-09 16:31:40+00:00,1.76,APPROVED,2,3,0,31,369,3,1
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54331,2024-04-09 05:17:49+00:00,2024-04-09 05:38:35+00:00,0,0.35,REVIEW_REQUIRED,1,1,1,1,301,2,1
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54330,2024-04-09 01:45:12+00:00,2024-04-09 02:57:56+00:00,0,1.21,REVIEW_REQUIRED,0,2,2,2,285,2,2
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54326,2024-04-08 15:17:59+00:00,2024-04-08 18:21:27+00:00,2024-04-08 18:21:26+00:00,3.06,APPROVED,2,1,1,1,284,3,0
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54325,2024-04-08 13:57:58+00:00,2024-04-08 13:58:13+00:00,0,0.0,REVIEW_REQUIRED,0,1,1,0,284,1,1
