Repositório,Intervalo Criação e Última Atividade,Participantes PR,Caracteres Corpo PR,Revisões,Comentários PR,Arquivos Alterados,Linhas Adicionadas,Linhas Excluídas,APPROVED,CHANGES_REQUESTED,REVIEW_REQUIRED
2dust/v2rayN,106.87,2.17,96.62,13,99,665,23902,18452,0,0,0
3b1b/manim,269.05,1.56,556.53,33,50,1045,24649,47291,1,0,0
521xueweihan/HelloGitHub,212.13,2.08,61.38,4,27,99,1662,250,0,0,0
996icu/996.ICU,3655.44,7.03,122.94,12,820,261,958,651,0,0,0
AUTOMATIC1111/stable-diffusion-webui,46.55,2.62,540.48,85,187,753,295110,2301,1,0,5
Anduin2017/HowToCook,122.73,2.22,333.2,80,36,291,4132,284,47,1,52
ByteByteGoHq/system-design-101,142.15,1.93,73.89,21,25,31,1957,199,0,1,0
Chalarangelo/30-seconds-of-code,480.24,2.62,336.88,20,84,23328,595979,18823,13,1,86
ChatGPTNextWeb/ChatGPT-Next-Web,44.1,1.75,261.97,22,269,759,70396,34845,0,0,0
CompVis/stable-diffusion,923.53,4.64,116.49,18,43,3514,867032,28810,0,0,0
CyC2018/CS-Notes,1691.96,2.09,26.58,9,77,100,820,231,0,0,0
Developer-Y/cs-video-courses,372.32,2.1,63.7,11,79,120,3980,3079,0,0,0
DopplerHQ/awesome-interview-questions,2287.1,2.18,63.18,64,47,106,273,91,9,0,91
EbookFoundation/free-programming-books,85.3,1.85,1643.56,60,124,113,571,165,0,5,0
Eugeny/tabby,99.12,0.78,1911.9,0,121,263,2520,1936,0,0,0
FuelLabs/fuel-core,55.47,2.42,985.17,431,39,1640,312808,292458,83,0,14
FuelLabs/sway,78.37,3.19,769.46,330,245,1804,28313,16182,84,3,10
Genymobile/scrcpy,581.2,2.46,466.83,46,478,956,52928,21906,0,0,0
GrowingGit/GitHub-Chinese-Top-Charts,1793.55,1.13,3.27,1,9,11,56,45,0,0,0
Hack-with-Github/Awesome-Hacking,2515.15,3.1,50.32,111,143,104,428,118,13,0,87
MisterBooo/LeetCodeAnimation,214.66,2.05,39.27,0,18,3264,336994,206,0,0,0
MunGell/awesome-for-beginners,138.07,1.12,90.93,0,92,114,7010,2644,0,0,0
PanJiaChen/vue-element-admin,1017.28,2.45,60.94,0,133,2624,288721,22599,0,0,0
Significant-Gravitas/AutoGPT,129.58,2.09,1153.54,98,199,411,56247,12868,49,1,50
