Repositório,Estrelas,Pull Requests,Cursor
freeCodeCamp/freeCodeCamp,387445,35868,Y3Vyc29yOjE=
EbookFoundation/free-programming-books,319341,9866,Y3Vyc29yOjI=
sindresorhus/awesome,299372,1986,Y3Vyc29yOjM=
public-apis/public-apis,291679,2890,Y3Vyc29yOjQ=
jwasham/coding-interview-university,288473,943,Y3Vyc29yOjU=
kamranahmedse/developer-roadmap,274016,2712,Y3Vyc29yOjY=
996icu/996.ICU,269026,1970,Y3Vyc29yOjc=
codecrafters-io/build-your-own-x,256697,244,Y3Vyc29yOjg=
donnemartin/system-design-primer,253245,301,Y3Vyc29yOjk=
facebook/react,221560,14769,Y3Vyc29yOjEw
vuejs/vue,206885,2268,Y3Vyc29yOjEx
vinta/awesome-python,204603,1495,Y3Vyc29yOjEy
trekhleb/javascript-algorithms,182507,510,Y3Vyc29yOjEz
tensorflow/tensorflow,182321,25986,Y3Vyc29yOjE0
TheAlgorithms/Python,179190,9179,Y3Vyc29yOjE1
awesome-selfhosted/awesome-selfhosted,177335,3037,Y3Vyc29yOjE2
getify/You-Dont-Know-JS,176123,841,Y3Vyc29yOjE3
CyC2018/CS-Notes,172159,548,Y3Vyc29yOjE4
torvalds/linux,169877,470,Y3Vyc29yOjE5
ohmyzsh/ohmyzsh,168551,6832,Y3Vyc29yOjIw
practical-tutorials/project-based-learning,167551,329,Y3Vyc29yOjIx
twbs/bootstrap,167380,14994,Y3Vyc29yOjIy
ossu/computer-science,162500,428,Y3Vyc29yOjIz
flutter/flutter,161652,52202,Y3Vyc29yOjI0
Significant-Gravitas/AutoGPT,161052,3607,Y3Vyc29yOjI1
microsoft/vscode,158023,28702,Y3Vyc29yOjI2
github/gitignore,157555,3858,Y3Vyc29yOjI3
jackfrued/Python-100-Days,149826,148,Y3Vyc29yOjI4
jlevy/the-art-of-command-line,148521,463,Y3Vyc29yOjI5
Snailclimb/JavaGuide,142997,1287,Y3Vyc29yOjMw
airbnb/javascript,141677,1489,Y3Vyc29yOjMx
AUTOMATIC1111/stable-diffusion-webui,129007,2861,Y3Vyc29yOjMy
trimstray/the-book-of-secret-knowledge,128983,204,Y3Vyc29yOjMz
ytdl-org/youtube-dl,128357,4419,Y3Vyc29yOjM0
huggingface/transformers,124596,15174,Y3Vyc29yOjM1
labuladong/fucking-algorithm,123317,452,Y3Vyc29yOjM2
avelino/awesome-go,120450,4335,Y3Vyc29yOjM3
vercel/next.js,120367,20859,Y3Vyc29yOjM4
golang/go,119463,3397,Y3Vyc29yOjM5
Chalarangelo/30-seconds-of-code,119046,1604,Y3Vyc29yOjQw
facebook/react-native,115586,16498,Y3Vyc29yOjQx
electron/electron,111874,21539,Y3Vyc29yOjQy
yangshun/tech-interview-handbook,109654,526,Y3Vyc29yOjQz
justjavac/free-programming-books-zh_CN,109080,432,Y3Vyc29yOjQ0
d3/d3,107618,1161,Y3Vyc29yOjQ1
kubernetes/kubernetes,106660,78401,Y3Vyc29yOjQ2
microsoft/PowerToys,104223,5125,Y3Vyc29yOjQ3
axios/axios,103979,1448,Y3Vyc29yOjQ4
nodejs/node,103638,32581,Y3Vyc29yOjQ5
f/awesome-chatgpt-prompts,103270,284,Y3Vyc29yOjUw
facebook/create-react-app,101833,3788,Y3Vyc29yOjUx
Genymobile/scrcpy,101685,383,Y3Vyc29yOjUy
mrdoob/three.js,98774,15579,Y3Vyc29yOjUz
microsoft/TypeScript,97876,17047,Y3Vyc29yOjU0
goldbergyoni/nodebestpractices,96249,918,Y3Vyc29yOjU1
angular/angular,94462,26717,Y3Vyc29yOjU2
microsoft/terminal,93427,4079,Y3Vyc29yOjU3
denoland/deno,92859,12451,Y3Vyc29yOjU4
rust-lang/rust,92753,70847,Y3Vyc29yOjU5
mui/material-ui,91529,21783,Y3Vyc29yOjYw
ant-design/ant-design,90125,16887,Y3Vyc29yOjYx
ryanmcdermott/clean-code-javascript,89597,248,Y3Vyc29yOjYy
GrowingGit/GitHub-Chinese-Top-Charts,88477,15,Y3Vyc29yOjYz
puppeteer/puppeteer,86727,5497,Y3Vyc29yOjY0
iluwatar/java-design-patterns,86366,1955,Y3Vyc29yOjY1
PanJiaChen/vue-element-admin,86299,475,Y3Vyc29yOjY2
521xueweihan/HelloGitHub,84663,40,Y3Vyc29yOjY3
ripienaar/free-for-dev,83706,3188,Y3Vyc29yOjY4
papers-we-love/papers-we-love,83201,509,Y3Vyc29yOjY5
godotengine/godot,82971,38215,Y3Vyc29yOjcw
storybookjs/storybook,82734,12068,Y3Vyc29yOjcx
nvbn/thefuck,82728,605,Y3Vyc29yOjcy
langchain-ai/langchain,82664,11202,Y3Vyc29yOjcz
microsoft/Web-Dev-For-Beginners,81396,780,Y3Vyc29yOjc0
